merchant_id,mcc,merchant_name,country,ownership_changed_recently,baseline_risk
M1000,5732,Electronics Stores 0,RU,False,High
M1001,5812,Restaurants 1,GB,False,Medium
M1002,5999,Misc Retail 2,MT,False,High
M1003,7999,Misc Rec Services 3,MT,True,High
M1004,7999,Misc Rec Services 4,RU,True,High
M1005,5541,Gas Stations 5,AU,False,Low
M1006,5411,Grocery Stores 6,GB,False,Low
M1007,5411,Grocery Stores 7,AU,False,Low
M1008,5411,Grocery Stores 8,AU,True,Medium
M1009,5999,Misc Retail 9,DE,False,Medium
M1010,4814,Telecom Services 10,CA,False,Low
M1011,7999,Misc Rec Services 11,AU,False,Low
M1012,4814,Telecom Services 12,US,True,Low
M1013,7999,Misc Rec Services 13,CA,True,Low
M1014,4814,Telecom Services 14,PA,False,High
M1015,5732,Electronics Stores 15,AU,False,Low
M1016,5999,Misc Retail 16,DE,False,Low
M1017,5732,Electronics Stores 17,US,True,Low
M1018,4814,Telecom Services 18,DE,False,Low
M1019,4814,Telecom Services 19,GB,True,Low
M1020,7999,Misc Rec Services 20,RU,True,High
M1021,5411,Grocery Stores 21,GB,True,Low
M1022,5541,Gas Stations 22,LV,False,High
M1023,5812,Restaurants 23,US,True,Medium
M1024,7999,Misc Rec Services 24,AU,True,Low
M1025,5541,Gas Stations 25,GB,False,Low
M1026,4814,Telecom Services 26,GB,False,Low
M1027,5541,Gas Stations 27,AU,False,Low
M1028,5411,Grocery Stores 28,FR,False,Low
M1029,5812,Restaurants 29,CA,False,Low
M1030,7999,Misc Rec Services 30,DE,False,Low
M1031,5732,Electronics Stores 31,CA,False,Low
M1032,5541,Gas Stations 32,LV,False,High
M1033,5812,Restaurants 33,CA,False,Low
M1034,5732,Electronics Stores 34,FR,False,Medium
M1035,4814,Telecom Services 35,GB,False,Low
M1036,5541,Gas Stations 36,CA,False,Medium
M1037,5812,Restaurants 37,AU,False,Low
M1038,5411,Grocery Stores 38,FR,False,Medium
M1039,5999,Misc Retail 39,GB,False,Low
M1040,7999,Misc Rec Services 40,US,False,Low
M1041,7999,Misc Rec Services 41,DE,False,Low
M1042,5411,Grocery Stores 42,CA,True,Low
M1043,4814,Telecom Services 43,FR,False,Low
M1044,5411,Grocery Stores 44,US,True,Low
M1045,5732,Electronics Stores 45,CA,False,Low
M1046,5541,Gas Stations 46,MT,True,High
M1047,5541,Gas Stations 47,DE,False,Low
M1048,5812,Restaurants 48,CA,False,Low
M1049,5541,Gas Stations 49,CA,True,Low
M1050,4814,Telecom Services 50,CY,False,High
M1051,4814,Telecom Services 51,FR,True,Medium
M1052,5541,Gas Stations 52,CA,True,Low
M1053,5541,Gas Stations 53,CA,False,Low
M1054,5812,Restaurants 54,US,False,Low
M1055,5732,Electronics Stores 55,US,False,Low
M1056,5812,Restaurants 56,CY,False,High
M1057,5541,Gas Stations 57,GB,False,Medium
M1058,4814,Telecom Services 58,PA,False,High
M1059,7999,Misc Rec Services 59,FR,False,Low
M1060,5999,Misc Retail 60,US,False,Low
M1061,5541,Gas Stations 61,CY,False,High
M1062,5541,Gas Stations 62,US,False,Medium
M1063,4814,Telecom Services 63,CY,False,High
M1064,7999,Misc Rec Services 64,FR,False,Medium
M1065,5411,Grocery Stores 65,CA,False,Medium
M1066,5411,Grocery Stores 66,GB,False,Low
M1067,5541,Gas Stations 67,GB,True,Low
M1068,7999,Misc Rec Services 68,AU,False,Low
M1069,5732,Electronics Stores 69,GB,True,Low
M1070,5411,Grocery Stores 70,DE,False,Low
M1071,7999,Misc Rec Services 71,GB,True,Medium
M1072,4814,Telecom Services 72,CA,True,Medium
M1073,5541,Gas Stations 73,GB,False,Low
M1074,5999,Misc Retail 74,FR,False,Low
M1075,7999,Misc Rec Services 75,GB,False,Low
M1076,5732,Electronics Stores 76,DE,True,Low
M1077,5732,Electronics Stores 77,CA,False,Low
M1078,7999,Misc Rec Services 78,FR,False,Low
M1079,7999,Misc Rec Services 79,CA,True,Low
M1080,5999,Misc Retail 80,DE,False,Low
M1081,4814,Telecom Services 81,DE,False,Medium
M1082,5541,Gas Stations 82,DE,True,Low
M1083,5812,Restaurants 83,CA,False,Low
M1084,5812,Restaurants 84,FR,False,Low
M1085,5732,Electronics Stores 85,GB,True,Low
M1086,5999,Misc Retail 86,DE,False,Low
M1087,5541,Gas Stations 87,DE,False,Medium
M1088,5411,Grocery Stores 88,CA,True,Medium
M1089,5732,Electronics Stores 89,DE,False,Low
M1090,5541,Gas Stations 90,CY,False,High
M1091,5999,Misc Retail 91,US,False,Low
M1092,4814,Telecom Services 92,FR,False,Medium
M1093,5411,Grocery Stores 93,GB,False,Low
M1094,5812,Restaurants 94,US,True,Low
M1095,7999,Misc Rec Services 95,US,False,Low
M1096,4814,Telecom Services 96,AU,False,Low
M1097,5999,Misc Retail 97,FR,True,Low
